n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,oob_score,random_state,mean,std,min
1000,20,12,4,entropy,True,42,0.8451195781809051,0.016871607820638002,0.8282479703602671
1000,20,16,4,entropy,True,42,0.8451133011110412,0.0165514441868127,0.8285618569242286
500,20,16,4,entropy,True,42,0.8439834285355596,0.017286542123404598,0.826696886412155
500,20,12,4,entropy,True,42,0.8428723871696693,0.011241452284342193,0.8316309348853271
500,20,12,6,entropy,True,42,0.8417425145941875,0.005718324516421761,0.8360241900777657
500,20,16,6,entropy,True,42,0.8406251961584331,0.007680297025929769,0.8329448991325034
1000,20,16,6,entropy,True,42,0.8383717280773334,0.011055065954810652,0.8273166621225228
1000,20,12,6,entropy,True,42,0.8383717280773334,0.012652607994898176,0.8257191200824352
500,20,12,8,entropy,True,42,0.8293829640323895,0.014266543940105333,0.8151164200922842
500,20,16,8,entropy,True,42,0.8293829640323895,0.014266543940105333,0.8151164200922842
1000,20,12,8,entropy,True,42,0.8282593685267716,0.017096426882141795,0.8111629416446299
1000,20,16,8,entropy,True,42,0.8282593685267716,0.017096426882141795,0.8111629416446299
